,genre,artists
407,deep-house,James Hype;Miggy Dela Rosa
408,comedy,Kyle Kinane
409,hard-rock,Pitty
410,forro,Pablo
411,psych-rock,The Monkees
412,metalcore,Ice Nine Kills
413,iranian,Najand
414,iranian,Confess
415,heavy-metal,Ricardo Iorio
416,blues,Eric Burdon
417,sertanejo,Ícaro e Gilmar
418,power-pop,Hoodoo Gurus
419,metalcore,Architects
420,tango,Adriana Varela
421,cantopop,Jacky Cheung
422,latino,J Balvin;Bad Bunny;Marciano Cantero
423,heavy-metal,OConnor
424,psych-rock,Barış Manço
425,death-metal,Sepultura
426,piano,Elton John
427,death-metal,Opeth
428,black-metal,Behemoth
429,guitar,Los Tecolines
430,mpb,Raul Seixas
431,rock-n-roll,Enrique Guzman
432,salsa,Marc Anthony
433,grindcore,disrupt
434,hard-rock,AC/DC
435,alt-rock,Fitz and The Tantrums
436,j-idol,Flower
437,children,Sweet Little Band
438,funk,James Brown
439,psych-rock,Jimi Hendrix
440,grunge,Alice In Chains
441,metal,Avenged Sevenfold
442,detroit-techno,Aril Brikha
443,detroit-techno,Terrence Parker
444,j-dance,Mavado
445,industrial,White Zombie
446,funk,Clean Bandit;A7S
447,grunge,Blind Melon
448,salsa,Gilberto Santa Rosa
449,party,Fäaschtbänkler
450,grindcore,Pig Destroyer
451,j-idol,Perfume
452,rock,Imagine Dragons
453,classical,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky
454,power-pop,Badfinger
455,death-metal,Upon A Burning Body
456,kids,The Party Cats
457,j-rock,Macaroni Empitsu
458,trance,NG Rezonance
459,emo,iamjakehill
460,emo,Lil Peep
461,j-dance,Beenie Man
462,heavy-metal,Horcas
463,idm,Casino Versus Japan
464,detroit-techno,Kenny Larkin
465,heavy-metal,Accept
466,indie-pop,Maisie Peters
467,j-pop,YOASOBI
468,world-music,Michael W. Smith
469,electro,Bazzi
470,singer-songwriter,Tom Petty
471,hardcore,For Revenge
472,grindcore,Anaal Nathrakh
473,goth,The Cramps
474,folk,Papon
475,pagode,Thiaguinho
476,anime,Samuel Kim
477,grunge,Soundgarden
478,pagode,Turma do Pagode
479,edm,twocolors
480,industrial,Sevendust
481,mandopop,JJ Lin
482,metalcore,Dead by April
483,singer-songwriter,Osho Jain
484,kids,Cupid
485,chicago-house,Ron Trent
486,german,Sarah Connor
487,grunge,Creed
488,alt-rock,Neon Trees
489,blues,Slank
490,romance,Nikolai Erdenko
491,ska,Los Enanitos Verdes
492,j-rock,My Hair is Bad
493,alt-rock,KALEO
494,country,Zach Bryan
495,j-pop,Sertab Erener
496,country,Bailey Zimmerman
497,black-metal,Samael
498,minimal-techno,Paul Kalkbrenner
499,garage,The Smith Street Band
500,singer-songwriter,Jasleen Royal
501,indie-pop,Owl City
502,power-pop,Cheap Trick
503,salsa,Eddie Santiago
504,progressive-house,Swedish House Mafia;John Martin
505,british,Whitesnake
506,trance,Mandragora
507,blues,Derek & The Dominos
508,reggae,KAROL G;Maldy
509,emo,MASN
510,happy,Dj Promo
511,detroit-techno,Jeff Mills
512,latino,Wisin & Yandel;Chris Brown;T-Pain
513,acoustic,Gabrielle Aplin
514,singer-songwriter,Suzonn
515,party,Matthias Reim
516,ska,Bersuit Vergarabat
517,j-dance,Rygin King
518,malay,Gersson Edinbaro
519,jazz,Vince Guaraldi Trio
520,singer-songwriter,Madeline The Person
521,iranian,Crows in the Rain
522,ambient,Flower Face
523,forro,Unha Pintada
524,blues,Ella Fitzgerald;Louis Armstrong
525,grunge,The Smashing Pumpkins
526,children,Kinderen voor Kinderen
527,hard-rock,KISS
528,detroit-techno,Octave One
529,punk-rock,The Smiths
530,idm,Plaid
531,emo,CPM 22
532,k-pop,Jubin Nautiyal
533,swedish,Isak Danielson
534,pagode,Pixote
535,dance,Becky Hill;Joel Corry
536,psych-rock,The Doors
537,folk,Hafdís Huld
538,rock-n-roll,Los Baby's
539,psych-rock,The Who
540,acoustic,KT Tunstall
541,pagode,Péricles
542,acoustic,Boyce Avenue
543,world-music,for KING & COUNTRY
544,industrial,Static-X
545,house,Nathan Dawe;Ella Henderson
546,singer-songwriter,Eagles
547,country,Dan + Shay
548,j-idol,Dempagumi.Inc
549,breakbeat,Freestylers
550,j-idol,Akina Nakamori
551,indie-pop,Claire Rosinkranz
552,rock,Panic! At The Disco
553,romance,Rashid Beibutov
554,minimal-techno,Solomun
555,alternative,Mahalia
556,bluegrass,The Infamous Stringdusters
557,industrial,Type O Negative
558,singer-songwriter,Taba Chake
559,detroit-techno,Carl Craig
560,bluegrass,Yonder Mountain String Band
561,synth-pop,Indochine
562,idm,Rei Harakami
563,emo,ASIAN KUNG-FU GENERATION
564,hard-rock,Planet Hemp
565,singer-songwriter,Vismay Patel
566,idm,Susumu Yokota
567,metalcore,Falling In Reverse
568,folk,Vance Joy
569,anime,Eve
570,punk-rock,Catupecu Machu
571,romance,Igor Talkov
572,chill,Yusei
573,singer-songwriter,Lyn Lapid
574,bluegrass,Nickel Creek
575,hip-hop,Anirudh Ravichander
576,trip-hop,Faithless
577,idm,Luke Vibert
578,tango,Julio Sosa;Leopoldo Federico y su Orquesta
579,chicago-house,Felix Da Housecat
580,sertanejo,Murilo Huff
581,honky-tonk,Lefty Frizzell
582,kids,Babyboomboom
583,singer-songwriter,Amy Macdonald
584,j-dance,Busy Signal
585,forro,Aviões do Forró
586,honky-tonk,Pete Bernhard
587,funk,Marvin Gaye
588,dance,Robin Schulz;Tom Walker
589,power-pop,Elvis Costello & The Attractions
590,psych-rock,Steppenwolf
591,industrial,Mushroomhead
592,turkish,Teoman
593,metalcore,The Devil Wears Prada
594,guitar,Los Apus
595,funk,Anitta
596,garage,Wolfmother
597,romance,Vladimir Nechaev
598,hardcore,The Notorious B.I.G.
599,mpb,Detonautas Roque Clube
600,idm,Ochre
601,guitar,Andrew Foy;Renee Foy
602,honky-tonk,Ernest Tubb
603,j-idol,PASSEPIED
604,drum-and-bass,Pendulum
605,country,Creedence Clearwater Revival
606,hard-rock,Led Zeppelin
607,black-metal,Moonspell
608,rock-n-roll,Mike Laure
609,opera,Josh Groban
610,breakbeat,Fluke
611,alt-rock,Zoé
612,hard-rock,Faith No More
613,comedy,Kevin Bloody Wilson
614,swedish,Lars Winnerbäck
615,power-pop,Teenage Bottlerocket
616,ska,Tipe-X
617,grunge,Daughtry
618,comedy,Patton Oswalt
619,death-metal,Slayer
620,r-n-b,Engenheiros Do Hawaii
621,guitar,William Luna
622,mpb,Zé Ramalho
623,hip-hop,Kodak Black
624,grindcore,Full Of Hell
625,happy,Lawineboys
626,sad,yaeow
627,dub,Tritonal
628,kids,Patty Shukla
629,industrial,Nine Inch Nails
630,sleep,Silent Knights
631,ska,Divididos
632,spanish,Cyclo
633,rock-n-roll,Los Pasteles Verdes
634,gospel,Gabriel Brito
635,goth,Epica
636,disco,Boney M.
637,latino,Alvaro Diaz
638,salsa,Víctor Manuelle
639,goth,Roffe Ruff
640,dancehall,Sean Paul
641,goth,José González
642,j-rock,Müzeyyen Senar
643,synth-pop,Modern Talking
644,cantopop,Andy Lau
645,groove,Novo Som
646,latin,Ñejo & Dalmata
647,hardcore,BBS Paranoicos
648,house,Anne-Marie
649,alt-rock,The Killers;Ryan Pardey
650,garage,The White Stripes
651,grunge,Hoobastank
652,alternative,Sturgill Simpson
653,psych-rock,Steely Dan
654,j-dance,Popcaan
655,hard-rock,Iron Maiden
656,kids,Poop Emoji
657,sertanejo,Gusttavo Lima
658,funk,Anitta;Missy Elliott
659,synth-pop,a-ha
660,dub,ILLENIUM;Teddy Swims
661,piano,Keane
662,folk,Don McLean
663,latin,Kevin Roldan;Bryant Myers;Lyanno
664,forro,Léo Magalhães
665,malay,Kester
666,metal,Evanescence
667,idm,Autechre
668,children,LooLoo Kids
669,minimal-techno,Jan Blomqvist
670,latin,Juanes
671,sleep,Meeresrauschen
672,edm,DJ Snake;Justin Bieber
673,tango,Roberto Goyeneche
674,pagode,Grupo Revelação
675,ska,Chancho En Piedra
676,forro,Taty Girl
677,alt-rock,Volbeat
678,classical,Bombay Jayashri
679,black-metal,Eisregen
680,ska,31 Minutos
681,club,Gesaffelstein
682,progressive-house,Duke Dumont
683,guitar,Henrik Janson
684,samba,Elis Regina
685,grindcore,Cattle Decapitation
686,anime,Kijugo
687,malay,Havoc Mathan;Havoc Naven
688,trip-hop,Hooverphonic
689,anime,UVERworld
690,synth-pop,Duran Duran
691,j-pop,Fujii Kaze
692,trip-hop,Portishead
693,indie-pop,JVKE
694,industrial,Mudvayne
695,iranian,Leila Bela
696,samba,Arlindo Cruz
697,comedy,Mike Birbiglia
698,samba,Grupo Fundo De Quintal
699,forro,Humberto & Ronaldo
700,party,DJ Ötzi
701,industrial,JPEGMAFIA
702,industrial,Celldweller
703,turkish,Tan Taşçı
704,j-rock,Zeki Müren
705,rock-n-roll,Los Freddy's
706,world-music,Matt Redman
707,rock-n-roll,Los Apson
708,forro,Zezo
709,latino,Joey Montana;Sebastian Yatra
710,singer-songwriter,George Ezra
711,honky-tonk,Faron Young
712,black-metal,Winds of Plague
713,bluegrass,The Wood Brothers
714,show-tunes,Ben Platt
715,blues,Solomon Burke
716,study,Nathan Kawanishi
717,country,Brett Eldredge
718,club,Arca
719,synth-pop,The Bangles
720,hip-hop,King
721,kids,Pj Panda
722,piano,Ray Charles
723,punk,Green Day
724,soul,John Legend
725,black-metal,Rotting Christ
726,metalcore,Asking Alexandria
727,punk-rock,Simple Plan
728,metalcore,A Day To Remember
729,anime,Raimu
730,gospel,Gabriela Rocha
731,electro,Nessa Barrett
732,new-age,Laura Sullivan
733,mpb,Nando Reis
734,chicago-house,Larry Heard
735,emo,Fresno
736,world-music,Hillsong Worship;Brooke Ligertwood
737,grunge,Audioslave
738,grindcore,Sex Prisoner
739,j-idol,≠ME
740,j-dance,Alkaline
741,acoustic,Frank Turner
742,alt-rock,Bishop Briggs
743,malay,Sajeer Koppam
744,synth-pop,Tears For Fears
745,ambient,Stephan Moccio
746,singer-songwriter,Catie Turner
747,romance,"Nikolai Erdenko;Ансамбль ""Джанг"""
748,gospel,Cassiane
749,iranian,Rojin Sharafi
750,punk-rock,Last Child
751,industrial,Psychostick
752,comedy,Tom Papa
753,party,Tobee
754,trip-hop,Air
755,german,Zedd;Maren Morris;Grey
756,pop-film,Diljit Dosanjh
757,ambient,Alexis Ffrench
758,salsa,Frankie Ruiz
759,progressive-house,Marshmello
760,classical,Giuseppe Verdi;Vincenzo Ciliberti
761,bluegrass,The Steeldrivers
762,happy,2 Brothers On The 4th Floor
763,detroit-techno,Model 500
764,bluegrass,Old Crow Medicine Show
765,k-pop,Stray Kids
766,power-pop,The Cars
767,acoustic,Days N Daze
768,rock-n-roll,Alberto Vazquez
769,comedy,Stephen Lynch
770,iranian,Kiawasch Sahebnassagh
771,salsa,Billo's
772,pagode,Vitinho
773,singer-songwriter,Hayd
774,anime,BURNOUT SYNDROMES
775,afrobeat,Calle 13
776,punk-rock,Yeah Yeah Yeahs;A-Trak
777,alt-rock,Andrés Calamaro
778,new-age,Deuter
779,singer-songwriter,Chicago
780,death-metal,For Today
781,trip-hop,Röyksopp
782,german,Hans Zimmer;Adam Lukas;James Everingham;AURORA
783,new-age,Jacob's Piano
784,groove,Purples
785,black-metal,Toxic Holocaust
786,breakbeat,Ed Solo;Deekline
787,country,Upchurch
788,emo,Josh A
789,country,Gabby Barrett
790,garage,Sly Withers
791,rockabilly,The Baseballs
792,singer-songwriter,Keenan Te
793,spanish,Alejandro Sanz
794,party,Peter Wackel
795,power-pop,Off With Their Heads
796,anime,SPYAIR
797,detroit-techno,Underground Resistance
798,party,Michelle
799,groove,Mastodon
800,grunge,Halestorm
801,dance,Joel Corry;Mabel
802,grunge,Thirty Seconds To Mars
803,opera,Celtic Woman
804,power-pop,Andrew Gold
805,brazil,Frejat
806,house,Alan Walker
807,malay,Fejo
808,psych-rock,Cream
809,indie-pop,Sanah Moidutty
810,romance,Alexander Vertinsky
811,blues,B.B. King
812,french,Indila
813,mpb,Capital Inicial
814,ska,Broilers
815,j-dance,Kraff Gad
816,edm,Ritviz;Nucleya
817,death-metal,Meshuggah
818,new-age,Brian Crain
819,country,Cody Johnson
820,trip-hop,Thievery Corporation
821,anime,Kenshi Yonezu
822,grindcore,Trap Them
823,synth-pop,Level 42
824,punk-rock,Waterparks
825,detroit-techno,Plastikman;Richie Hawtin
826,industrial,Ministry
827,sertanejo,Lauana Prado
828,dance,Shawn Mendes
829,latino,Maluma
830,latino,Jhayco;J Balvin;Bad Bunny
831,turkish,Hidra
832,french,Polo & Pan
833,synth-pop,Culture Club
834,disco,Four Tops
835,dancehall,Apache Indian
836,heavy-metal,Seikima-II
837,classical,Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien
838,rock-n-roll,Frankie Valli & The Four Seasons
839,forro,Silvanno Salles
840,classical,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner
841,rock-n-roll,Los Solitarios
842,chicago-house,Fast Eddie
843,alt-rock,No Doubt
844,indie-pop,Sajjan Raj Vaidya
845,british,Yusuf / Cat Stevens
846,alt-rock,R.E.M.
847,synth-pop,Spandau Ballet
848,malay,K. S. Harisankar
849,hardcore,Los Miserables
850,bluegrass,Balsam Range
