,genre,artists
14750,opera,Giacomo Puccini;Luciano Pavarotti;Gianni Maffeo;Nicolai Ghiaurov;Rolando Panerai;Michel Sénéchal;Elizabeth Harwood;Schöneberger Sängerknaben;Chor der Deutschen Oper Berlin;Berliner Philharmoniker;Herbert von Karajan
14751,new-age,Stive Morgan;Moon Haunter;Azat Gimadeev
14752,opera,Charles Gounod;Kana Omori;Yurika Kimura;Riho Yamaji
14753,new-age,Deep Forest
14754,opera,Amira Willighagen;Corlea
14755,progressive-house,Hardwell;W&W;Fatman Scoop
14756,opera,Richard Wagner;Budapest Symphony Orchestra;György Lehel
14757,breakbeat,Deekline;Ed Solo;Sovryn
14758,bluegrass,Three Tall Pines
14759,progressive-house,Braxton;Lauren L'aimant
14760,new-age,Lori Mechem
14761,opera,Vienna State Opera Chorus;Wiener Philharmoniker;Sir Georg Solti
14762,opera,Giacomo Puccini;Luciano Pavarotti;Rolando Panerai;Gianni Maffeo;Nicolai Ghiaurov;Berliner Philharmoniker;Herbert von Karajan
14763,progressive-house,MOTi;JETFIRE;Lovespeake
14764,progressive-house,Borgeous;tyDi
14765,new-age,David Arkenstone;Tena Hess;Nancy Rumbel;Kostia;Deborah Hanks;Jerome Franke;Eric Segnitz;Tim Klabunde;Mike Giacobassi;Robert Hanford;Helen Reich;Paul Gmeinder;Gloria Hays;The Milwaukee Jewish Day School Choir
14766,opera,Giacomo Puccini;Nicolai Ghiaurov;Gianni Maffeo;Berliner Philharmoniker;Herbert von Karajan
14767,new-age,Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Christoph Stiefel;Matthias Ziegler;Margaretha Zorbala;Mark O'Connor
14768,progressive-house,Dimitri Vegas & Like Mike;KSHMR
14769,progressive-house,Firebeatz;KSHMR;Luciana
14770,opera,Giacomo Puccini;Luciano Pavarotti;Rolando Panerai;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan
14771,opera,Giacomo Puccini;Luciano Pavarotti;Mirella Freni;Rolando Panerai;Berliner Philharmoniker;Herbert von Karajan
14772,new-age,Andreas Vollenweider;Walter Keiser;Pedro Haldemann
14773,breakbeat,Dub Pistols;Horseman
14774,progressive-house,Borgeous;RUNAGROUND
14775,breakbeat,The Prodigy;DJ Hype
14776,opera,Giuseppe Verdi;Dame Joan Sutherland;Riccardo Cassinelli;John Gibbs;Christian Du Plessis;Ambrosian Opera Chorus;London Symphony Orchestra;Richard Bonynge
14777,brazil,BK;JXNV$;Luccas Carlos
14778,opera,Richard Wagner;Bavarian Radio Symphony Orchestra;Eugen Jochum
14779,punk,Night to Remember
14780,progressive-house,Brooks;Mo Falk
14781,breakbeat,Lunatic Calm
14782,punk-rock,Schmutzki
14783,progressive-house,Yves V;HUGEL
14784,r-n-b,Sleepy Hallow;347aidan
14785,bluegrass,Dan Tyminski;Jerry Douglas;Todd Phillips;Sam Bush;Josh Williams
14786,opera,Josh Groban;Herbie Hancock
14787,new-age,Yiruma;Ruvin
14788,opera,Roberto Alagna;Bruno Pelletier
14789,mpb,Luana Berti;Vitor Soltau
14790,opera,Alessandro Scarlatti;Arsenale Sonoro;Ludovico Minasi;Cristina Vidoni;Alexandra Koreneva
14791,progressive-house,Hardwell;Wildstylez;KiFi
14792,r-n-b,Flora Matos;Chris Beats Zn
14793,punk-rock,Endank Soekamti;E'snanas
14794,new-age,Anne Trenning
14795,new-age,Denise Young
14796,bluegrass,Dan Tyminski;Molly Tuttle
14797,new-age,Will Ackerman;Charlie Bisharat;Noah Wilding
14798,opera,Diablo Swing Orchestra
14799,progressive-house,Trilucid
14800,opera,Jean-Baptiste Lully;Chœur De Chambre De Namur;Millenium Orchestra;Cappella Mediterranea;Leonardo García-Alarcón;Sophie Junker;Judith van Wanroij;Matthias Vidal;Thibaut Lenaerts;Alain Buet
14801,opera,Luciano Pavarotti;Zucchero
14802,progressive-house,Bassjackers
14803,blues,Eric Clapton;John Mayer
14804,brazil,Toca de Assis;Eliana Ribeiro
14805,progressive-house,KSHMR;Marnik;Mitika
14806,opera,Jean-Philippe Rameau;Orfeo Orchestra;Gyorgy Vashegyi
14807,opera,Gioachino Rossini;Jesús López-Cobos;Orchestre de Chambre de Lausanne
14808,punk-rock,Endank Soekamti;CJR
14809,opera,Giuseppe Verdi;Salvatore Cordella;Anna Netrebko;Rolando Villazón;Wiener Philharmoniker;Carlo Rizzi
14810,opera,George Perris
14811,breakbeat,The Prodigy;South Central
14812,progressive-house,Dimitri Vegas & Like Mike;Vini Vici;Cherrymoon Trax
14813,progressive-house,KSHMR;Mahmut Orhan;Karra
14814,progressive-house,Mako
14815,opera,Giacomo Puccini;Luciano Pavarotti;Orchestra del Teatro Arena di Verona;Armando Gatto
14816,progressive-house,Sunnery James & Ryan Marciano;Bruno Martini;Mayra
14817,breakbeat,Dub Pistols;Red Star Lion;Rodney P
14818,progressive-house,KSHMR;NOUMENN
14819,opera,Giacomo Puccini;Gianni Maffeo;Mirella Freni;Luciano Pavarotti;Elizabeth Harwood;Rolando Panerai;Berliner Philharmoniker;Herbert von Karajan
14820,punk-rock,1280 Almas
14821,brazil,Febem;CESRV
14822,progressive-house,Yves V;Sevek
14823,opera,Jules Massenet;Renaud Capuçon
14824,progressive-house,Marshmello;MRVLZ
14825,progressive-house,Afrojack;Thirty Seconds To Mars
14826,opera,Gioachino Rossini;RIAS Kammerchor;Philip Mayers;Philip Moll;Ryoko Morooka;Marcus Creed
14827,opera,Giacomo Puccini;Rolando Panerai;Luciano Pavarotti;Berliner Philharmoniker;Herbert von Karajan
14828,new-age,Michael Dulin
14829,opera,"Giuseppe Verdi;Riccardo Muti;Cheryl Studer;Coro Del Teatro Alla Scala Di Milano;Dolora Zajic;Luciano Pavarotti;Samuel Ramey;Orchestra Del Teatro Alla Scala, Milano"
14830,new-age,Deuter;Annette Cantor
14831,mpb,ALMAR;João Mar
14832,breakbeat,The Prodigy;Hervé
14833,opera,Andrea Bocelli;Kenny G
14834,brazil,Kamau;DCazz;DJ Nyack
14835,progressive-house,Brooks;Vluarr;Jay Mason
14836,opera,Renée Fleming;Gregory Porter
14837,opera,Georges Bizet;Luciano Pavarotti;Nicolai Ghiaurov;National Philharmonic Orchestra;Robin Stapleton
14838,progressive-house,ARTY;April Bender
14839,progressive-house,CamelPhat;Mathame
14840,progressive-house,Cristoph;FEMME
14841,opera,Giuseppe Verdi;Carlo Rizzi;Edita Gruberova;London Symphony Orchestra;Neil Shicoff
14842,opera,"Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;Trumpeters of the Royal Military School of Music;New Philharmonia Orchestra"
14843,new-age,Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Matthias Ziegler
14844,progressive-house,R3HAB;Mokita
14845,opera,Andrea Bocelli;Alison Krauss
14846,breakbeat,The Chemical Brothers;Noel Gallagher
14847,opera,Lisa Kelly
14848,bluegrass,Sister Sadie
14849,progressive-house,Quintino;RYVM
14850,opera,Jules Massenet;The New Symphony Orchestra Of London;Raymond Agoult
14851,opera,Jacques Offenbach;Raphaela Gromes;Wen-Sinn Yang;Julian Riem
14852,bluegrass,Appalachian Road Show
14853,progressive-house,Oliver Heldens;Piero Pirupa
14854,progressive-house,Dimitri Vegas & Like Mike;Paris Hilton
14855,opera,Nana Mouskouri;Alain Goraguer Et Son Orchestre
14856,opera,Giacomo Puccini;Mirella Freni;Orchestra del Maggio Musicale Fiorentino;Bruno Bartoletti
14857,progressive-house,Nicky Romero;Deniz Koyu;Walk Off the Earth
14858,brazil,Costa Gold;Haikaiss
14859,progressive-house,Martin Garrix;Macklemore;Fall Out Boy;Tiësto
14860,bluegrass,Dan Tyminski;Billy Strings
14861,progressive-house,Swedish House Mafia;Tinie Tempah
14862,progressive-house,CamelPhat;Ali Love
14863,progressive-house,Lucas & Steve;4 Strings;Lagique
14864,progressive-house,Dimitri Vegas & Like Mike;David Guetta;Daddy Yankee;Afro Bros;Natti Natasha;Dimitri Vegas;Bassjackers
14865,opera,Georges Bizet;Philharmonia Cassovia;Alfred Walter
14866,progressive-house,NERVO;Skazi
14867,bluegrass,Jim Vancleve
14868,progressive-house,Lucas & Steve;DubVision;Joe Taylor
14869,new-age,Al Hirt
14870,bluegrass,The Seldom Scene;Emmylou Harris;Tom Gray;John Starling
14871,opera,Giacomo Puccini;Arranged By;Dick Hyman;Moe Koffman
14872,new-age,Jennifer Thomas
14873,opera,Sol3 Mio;The Haines Strings Octet
14874,opera,André Rieu;Johann Strauss Orchestra;Stéphanie Detry
14875,progressive-house,Yves V;Robert Falcon;Jimmy Clash
14876,progressive-house,Otto Knows;Dice Of Nights;Alex Aris
14877,progressive-house,Massane;Benjamin Roustaing
14878,new-age,Andreas Vollenweider;Walter Keiser;Mindy Jostyn;Eberhard Hahn;Daniel Pezzotti
14879,bluegrass,The Waybacks
14880,opera,Philharmonia Orchestra;Suzannah Bee
14881,brazil,Froid;Menestrel
14882,opera,Leo Nucci;Salotto Ottocento Ensemble
14883,breakbeat,Datsik;1000volts;Redman;Jayceeoh
14884,opera,Andrea Bocelli;David Foster
14885,punk,Glory of Love
14886,new-age,Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Christoph Stiefel;Janne Schaffer;Fernando Fantini;Hans Bergström;Charly Fässler;Hanspeter Haas;Beat Briner;Daniel Pezzotti
14887,progressive-house,Massane;MAGNUS
14888,progressive-house,Nicky Romero;EDX
14889,progressive-house,Tujamo;Lukas Vane
14890,new-age,Will Ackerman;Eugene Friesen;Tom Eaton
14891,progressive-house,Hardwell;Quintino
14892,punk,Drunk High Jinks
14893,opera,Léo Delibes;Slovak Philharmonic;Ondrej Lenard
14894,new-age,Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Corin Curschellas
14895,progressive-house,Borgeous;MORTEN;RUNAGROUND
14896,punk,Wszyscy Byliśmy Harcerzami
14897,opera,Giacomo Puccini;Rolando Panerai;Mirella Freni;Gianni Maffeo;Nicolai Ghiaurov;Luciano Pavarotti;Berliner Philharmoniker;Herbert von Karajan
14898,new-age,Jim Brickman;Jordan Hill;Billy Porter
14899,opera,"Vincenzo Bellini;Maria Callas;Coro Del Teatro Alla Scala Di Milano;Tullio Serafin;Orchestra Del Teatro Alla Scala, Milano"
14900,new-age,Paul Cardall;Nathan Pacheco
14901,bluegrass,Keller Williams with The Travelin' McCourys
14902,progressive-house,Sebjak;Fahlberg
14903,new-age,Brad Jacobsen
14904,punk-rock,Los Peores De Chile
14905,progressive-house,Borgeous;Zack Martino
14906,progressive-house,Kapes;Joseph
14907,bluegrass,Fireside Collective
14908,bluegrass,Mountain Heart
14909,new-age,Dean Evenson;Scott Huckabay
14910,punk,Over Distortion;Tonggos Darurat
14911,punk,Horrorpops
14912,progressive-house,Hardwell;Armin van Buuren
14913,progressive-house,Nicky Romero;Olivia Holt
14914,progressive-house,Martin Garrix;Troye Sivan;Dzeko
14915,brazil,Ls Jack
14916,progressive-house,R3HAB;Astrid S;HRVY
14917,new-age,Gandalf
14918,new-age,Andreas Vollenweider
14919,new-age,Andreas Vollenweider;Mark O'Connor;Vanesse Thomas;Lani Groves;Diva Gray;Patti Austin;Walter Keiser;Pedro Haldemann;Christoph Stiefel;Max Lässer;David Lindley
14920,mpb,Ana Vilela
14921,progressive-house,Don Diablo;Keanu Silva
14922,progressive-house,Hardwell;KAAZE;Jonathan Mendelsohn
14923,progressive-house,Ryos;Envy Monroe;Kaidro
14924,progressive-house,R3HAB;Julie Bergan
14925,opera,Giacomo Puccini;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan
14926,bluegrass,Appalachian Express
14927,progressive-house,Dimitri Vegas & Like Mike;Ne-Yo
14928,bluegrass,Songs From The Road Band
14929,new-age,Spencer Brewer
14930,opera,José Carreras;Plácido Domingo;Luciano Pavarotti;Orchestra Del Teatro Dell'Opera Di Roma;Orchestra del Maggio Musicale Fiorentino;Zubin Mehta
14931,opera,Giacomo Puccini;Rolando Panerai;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan
14932,r-n-b,Lil Tjay;6LACK
14933,progressive-house,Deorro;Pitbull;Elvis Crespo
14934,bluegrass,Aoife O'Donovan;Taylor Ashton
14935,opera,Giacomo Puccini;Luciano Pavarotti;Mirella Freni;Elizabeth Harwood;Rolando Panerai;Berliner Philharmoniker;Herbert von Karajan
14936,opera,Giacomo Puccini;Luciano Pavarotti;Rolando Panerai;Berliner Philharmoniker;Herbert von Karajan
14937,mpb,Nicolas Candido
14938,bluegrass,Taarka
14939,opera,"Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;Fiorenza Cossotto;Luigi Roni;Montserrat Caballé;Nicola Martinucci;Nicolai Ghiaurov;Plácido Domingo;New Philharmonia Orchestra"
14940,progressive-house,Swedish House Mafia;Seinabo Sey
14941,opera,"Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;Fiorenza Cossotto;Luigi Roni;Montserrat Caballé;Nicolai Ghiaurov;Plácido Domingo;New Philharmonia Orchestra"
14942,opera,Léo Delibes;Richard Kapp
14943,progressive-house,ARTY;Annie Schindel
14944,brazil,Dalsin;Froid;KAKA
14945,opera,Katherine Jenkins;Kiri Te Kanawa;Philharmonia Orchestra;Anthony Inglis
14946,progressive-house,ARTY;Rozzi
14947,brazil,Padre Zezinho scj
14948,new-age,David Carnes
14949,bluegrass,Bill Emerson
14950,new-age,Terry Oldfield
14951,progressive-house,Dimitri Vegas & Like Mike;Like Mike;Ummet Ozcan
14952,progressive-house,Yves V;Bhaskar;Twan Ray
14953,new-age,Chad Lawson;Royal Philharmonic Orchestra;James Southall
14954,breakbeat,The Crystal Method;Koda;VAAAL
14955,opera,Giuseppe Verdi;Maria Dragoni;Kristjan Johannsson;Barbara Dever;Mark Rucker;Francesco Ellero d' Artegna;Riccardo Ferrari;Antonio Marcenò;Monica Trini;Colin Mawby;RTÉ Philharmonic Choir;RTE Chamber Choir;Culwick Choral Society;Bray Choral Society;Dublin County Choir;Dun Laoghaire Choral Society;Cantabile Singers;Goethe Institut Choir;Musica Sacra;The Phoenix Singers;RTÉ National Symphony Orchestra;Irish Army No. 1 Band;Ricco Saccani
14956,progressive-house,Bassjackers;MAKJ
14957,punk-rock,Comunidade Nin-jitsu;Armandinho
14958,opera,Malena Ernman;Sarah Dawn Finer
14959,new-age,Fiona Joy Hawkins
14960,progressive-house,Yves V;Zaeden;Jermaine Fleur
14961,opera,Josh Groban;Laura Pausini
14962,opera,Giacomo Puccini;Kiri Te Kanawa;National Philharmonic Orchestra;Sir Georg Solti
14963,progressive-house,Lane 8;Kasablanca
14964,punk,Kazik
14965,opera,Georges Bizet;Choeur Les Elements;Orchestre National Du Capitole De Toulouse;Michel Plasson;Wolff
14966,opera,Andrea Bocelli;Marco Borsato
14967,opera,Beniamino Gigli
14968,opera,Georges Bizet;Orchestre Philharmonique De Strasbourg;Marko Letonja
14969,progressive-house,Swedish House Mafia;Mapei
14970,opera,Filippa Giordano;Jesús Navarro
14971,progressive-house,Don Diablo;Galantis
14972,progressive-house,Brooks;KSHMR;Tzar
14973,progressive-house,Dimitri Vegas & Like Mike;Like Mike vs Diplo
14974,brazil,Karen Keldani;Fabio Keldani
14975,new-age,Daniel Kobialka
14976,opera,Giacomo Puccini;Carlo Bergonzi;Orchestra dell'Accademia Nazionale di Santa Cecilia;Tullio Serafin
14977,progressive-house,Dimitri Vegas & Like Mike;W&W;MOGUAI
14978,progressive-house,Afrojack;DLMT;Brandyn Burnette
14979,progressive-house,Dimitri Vegas & Like Mike;David Guetta;Daddy Yankee;Afro Bros;Natti Natasha;Dimitri Vegas;R3HAB
14980,progressive-house,Don Diablo;Jessie J
14981,mpb,Sandy;Lucas Lima
14982,punk-rock,BRDigung
14983,opera,Pietro Mascagni;Julia Varady;The London Opera Chorus;National Philharmonic Orchestra;Gianandrea Gavazzeni
14984,progressive-house,Marshmello;Bastille;Frank Walker
14985,breakbeat,The Crystal Method;Dia Frampton
14986,opera,Vincenzo Bellini;Luciano Pavarotti;Joan Sutherland;Marilyn Horne;New York City Opera Orchestra;Richard Bonynge
14987,new-age,Patrick Kelly
14988,progressive-house,Sick Individuals;Ekko
14989,progressive-house,Bassjackers;L3N
14990,opera,Gaetano Donizetti;Luciano Pavarotti;English Chamber Orchestra;Richard Bonynge
14991,progressive-house,Mike Williams;Justin Mylo;Sara Sangfelt
14992,mpb,Serena Assumpção;Gustavo Souza;Tatá Aeroplano;Tulipa Ruiz
14993,psych-rock,Iron Butterfly
14994,psych-rock,Lambchop
14995,punk-rock,Milliarden
14996,progressive-house,Calvin Harris;Jorja Smith;Lil Durk
14997,new-age,Craig Urquhart
14998,mpb,Bala Desejo;Dora Morelenbaum;Zé Ibarra;Julia Mestre;Lucas Nunes
14999,punk-rock,Luis Alberto Spinetta;Fito Paez
15000,punk-rock,Casanovas schwule Seite
15001,progressive-house,AVIRA;Chris Howard
15002,mpb,Phill Veras
15003,progressive-house,Martin Garrix;Dawn Golden
15004,mpb,Serena Assumpção;Karina Buhr;Luê;Zé Celso Martinez Corrêa
15005,punk-rock,Chite
15006,psych-rock,Boogarins
15007,mpb,Maze;José Gil;Mariá Pinkusfeld
15008,opera,Vincenzo Bellini;Joan Sutherland;London Symphony Chorus;London Symphony Orchestra;Richard Bonynge
15009,punk,Stand Here Alone;Putri
15010,bluegrass,Acoustic Syndicate
15011,mpb,Filipe Catto
15012,psych-rock,The Poppy Family;Terry Jacks;Susan Jacks
15013,mpb,Luamarte
15014,bluegrass,The Bluegrass Cardinals
15015,new-age,Yiruma;Caterina Barontini
15016,brazil,Sain
15017,new-age,Jeremy Weinglass
15018,bluegrass,Mac Wiseman;The Osborne Brothers
15019,brazil,VOLAC;illusionize;Andre Longo
15020,progressive-house,Futuristic Polar Bears;Chrom3
15021,punk-rock,Árbol;Natalie Perez
15022,progressive-house,Matisse & Sadko;Raiden;Justin Jesso
15023,progressive-house,Albin Myers;ODZ
15024,punk-rock,Maanam
15025,breakbeat,Dub Pistols;Blade
15026,opera,Vincenzo Bellini;Cecilia Bartoli;James Levine
15027,mpb,Zeca Baleiro;Guilherme Kastrup;Natália Matos
15028,bluegrass,Dan Tyminski;Gaven Largent
15029,bluegrass,Pickin' On Series;Brad Davis
15030,bluegrass,Donna Stoneman
15031,psych-rock,Public Service Broadcasting;Nina Hoss
15032,progressive-house,Sick Individuals;Dastic
15033,punk-rock,Tolidos
15034,punk-rock,Liedfett
15035,punk,Cobra Starship;Sabi
15036,punk-rock,Rashit;Teoman
15037,mpb,Versos Que Compomos Na Estrada;Eu Me Chamo Antônio;Gero Camilo
15038,punk-rock,Cuchillazo
15039,punk,Где Фантом?
15040,brazil,Major RD;Rock Danger;Sain;Chris MC;El Lif Beatz;KIB7
15041,bluegrass,Michael Cleveland;The Travelin' McCourys
15042,punk-rock,Comunidade Nin-jitsu
15043,punk-rock,Marcelo Nova;Raul Seixas
15044,progressive-house,Oliver Heldens;Boy Matthews
15045,bluegrass,Greensky Bluegrass;Holly Bowling
15046,punk,The Ting Tings
15047,punk-rock,Tilt
15048,mpb,Bala Desejo;Julia Mestre;Lucas Nunes;Dora Morelenbaum;Zé Ibarra
15049,opera,Giuseppe Verdi;Carmen Giannattasio;Veronica Simeoni;Alxander Timchenko;Carlo Colombara;Yuri Temirkanov;St. Petersburg Philharmonic Orchestra
15050,brazil,Síntese
15051,brazil,Instituto;Sabotage
15052,mpb,Rosa Neon
15053,opera,Georges Bizet;Luciano Pavarotti;Vienna Volksoper Orchestra;Leone Magiera
15054,punk-rock,Liedfett;Schmiddlfinga
15055,psych-rock,Stoned Jesus
15056,punk-rock,Netral
15057,opera,Adolphe Adam;Wiener Sängerknaben;Friar Alessandro;Schubert-Akademie;Gerald Wirth
15058,mpb,Renato Teixeira;Raimundo Fagner;Almir Sater
15059,progressive-house,Robbie Rivera;Vanilla Ace;dharkfunkh
15060,progressive-house,Robbie Rivera;CASSIMM
15061,mpb,Walter Franco
15062,opera,Giuseppe Verdi;Théophile Alexandre;Quatuor Zaïde
15063,mpb,Herbert Vianna
15064,punk-rock,Tungas
15065,opera,Adolphe Adam;Wiener Sängerknaben;Aida Garifullina;Schubert-Akademie;Gerald Wirth
15066,punk-rock,Coma
15067,progressive-house,Borgeous;Zaeden
15068,punk-rock,Tragedis
15069,punk-rock,Muchy
15070,psych-rock,Night Moves
15071,progressive-house,Jack Back
15072,punk-rock,Graffiti 3X
15073,mpb,Hotelo;Helen Sancho
15074,mpb,Paulo Novaes;Tiago Nacarato
15075,psych-rock,Sir Lord Baltimore
15076,punk-rock,Odio a Botero
15077,psych-rock,Sgt. Papers
15078,opera,André Rieu;Carmen Monarcha;Mirusia Louwerse;Suzan Erens;The Platin Tenors
15079,opera,Andrea Bocelli;Édith Piaf
15080,bluegrass,Pickin' On Series;Brad Davis;Makenzie Rains
15081,progressive-house,Don Diablo;KiFi
15082,psych-rock,The Klingonz
15083,new-age,David Lanz;Eric Tingstad;Nancy Rumbel
15084,punk-rock,Simple Plan;State Champs;We The Kings
15085,progressive-house,Hardwell;Lee Grant
15086,progressive-house,Hardwell;Conor Maynard;Snoop Dogg
15087,progressive-house,Marshmello;Khalid;Slushii
15088,breakbeat,Future Funk Squad feat. Mojo;Future Funk Squad;Mojo
15089,punk-rock,The Jesus and Mary Chain
15090,opera,Giacomo Puccini;HAUSER;Robert Ziegler;London Symphony Orchestra
15091,psych-rock,Ricochets
15092,opera,Amilcare Ponchielli;Staatskapelle Dresden;Silvio Varviso
15093,bluegrass,Railroad Earth;OurVinyl
15094,new-age,Deep Forest;Márta Sebestyén
15095,mpb,Ana Carolina;Abel Pintos
15096,mpb,Sandy;Maria Gadú
15097,brazil,Rap Box;Cynthia Luz;Sant
15098,psych-rock,Hillbilly Casino
15099,mpb,Roberta Campos;Humberto Gessinger
15100,psych-rock,Modern Folk Üçlüsü;Tanju Okan;Nilüfer
15101,psych-rock,Lunatic Soul
15102,psych-rock,The West Coast Pop Art Experimental Band
15103,bluegrass,J.D. Crowe
15104,mpb,Lulu Santos;Gabriel Pensador
15105,mpb,Jorge Vercillo;Péricles
15106,punk,Billy Talent
15107,new-age,Denean
15108,mpb,Sabrina Lopes;MAR ABERTO
15109,psych-rock,The Flying Burrito Brothers
15110,psych-rock,Rare Earth
15111,new-age,Rhonda Mackert
15112,bluegrass,Alan Bibey;Grasstowne
15113,bluegrass,Crooked Still;Aoife O'Donovan
15114,bluegrass,Pickin' On Series;Brad Davis;Lou Ann Price
15115,psych-rock,The Brian Jonestown Massacre
15116,new-age,Ryan Stewart
15117,psych-rock,Beyaz Kelebekler;Peter Tetteroo;White Butterflies
15118,mpb,Ana Carolina;Seu Jorge
15119,bluegrass,The Greencards
15120,psych-rock,Ramona;Little Jesus
15121,psych-rock,Spiritualized
15122,psych-rock,Norma Tanega
15123,brazil,Duzz;Froid;Dalua
15124,bluegrass,High Fidelity
15125,brazil,Altamira;Stanley Castro;Thebosh
15126,bluegrass,Justin Moses;Barry Bales;Bryan Sutton;Michael Cleveland;Sierra Hull
15127,bluegrass,Josh Williams
15128,new-age,Lisa Lynne
15129,bluegrass,South Austin Jug Band
15130,psych-rock,Jimmy Carter and Dallas County Green
15131,psych-rock,Man
15132,punk-rock,Herra Ylppö
15133,mpb,Mc Tha;Comunidade Jongo Dito Ribeiro;Sueide Kintê
15134,mpb,Illy;DUDA BEAT;Tomás Tróia
15135,bluegrass,Sam Bush
15136,punk-rock,Los Ex
15137,opera,Josh Groban;London Symphony Orchestra
15138,brazil,Yung Buda;Ok Goos
15139,psych-rock,Uriah Heep
15140,psych-rock,Dungen
15141,mpb,Melim;Djavan
15142,psych-rock,Emitt Rhodes
15143,psych-rock,Cem Karaca;Moğollar
15144,mpb,Chico Buarque;Chico Brown
15145,new-age,Karen Marie Garrett;Desiree Goyette
15146,mpb,Johnny Hooker;Jáder
15147,bluegrass,Ben Sollee
15148,new-age,Medwyn Goodall
15149,brazil,Febem;Pizzol
15150,psych-rock,CAN
15151,psych-rock,Fred Neil
15152,bluegrass,Mike Auldridge
15153,opera,Giuseppe Verdi;Mariinsky Chorus;Mariinsky Orchestra;Valery Gergiev
15154,new-age,Phil Coulter;Brian Kennedy;Paul Byrom
15155,psych-rock,Ersen ve Dadaşlar
15156,bluegrass,Aoife O'Donovan
15157,bluegrass,The Monroe Brothers
15158,psych-rock,Klaatu
15159,psych-rock,Mike Ness
15160,bluegrass,The Railsplitters
15161,psych-rock,"Ramona;Daniel, Me Estás Matando"
15162,mpb,Zé Ramalho;Andreas Kisser
15163,punk-rock,División Minúscula;Mariana Priego
15164,opera,Giuseppe Verdi;Quatuor Zaïde
15165,bluegrass,Longview
15166,psych-rock,Rana Alagöz
15167,breakbeat,Deekline;Brian Brainstorm;Specimen A;Sweetie Irie;MC B-Live;Killa P;Benny Page
15168,bluegrass,Twisted Pine
15169,bluegrass,Blueridge Mountain Bluegrass Band
15170,psych-rock,Linda Perhacs
15171,bluegrass,Dan Tyminski;Dailey & Vincent
15172,psych-rock,Jim Morrison
15173,bluegrass,Old Salt Union
15174,mpb,Luiza Possi
15175,punk-rock,Huora
15176,opera,Francesco Cavalli;Théophile Alexandre;Quatuor Zaïde
15177,breakbeat,Dub Pistols;Rodney P;Lindy Layton;Barry Ashworth;Will Hensel
15178,psych-rock,Sigmun
15179,psych-rock,Ramona;Luca Bocci
15180,punk-rock,Yelo Molo
15181,new-age,Kamal
15182,bluegrass,Keller Williams;Bob Weir
15183,opera,Kiri Te Kanawa;Luise Edeiken;Angelina Reaux;Stella Zambalis;Leonard Bernstein
15184,punk-rock,Jauría
15185,psych-rock,The Atomic Bitchwax
15186,bluegrass,Kruger Brothers;Kontras Quartet
15187,mpb,Zé Ramalho;Elba Ramalho
15188,opera,Giuseppe Verdi;Ileana Cotrubas;Plácido Domingo;Chor der Bayerischen Staatsoper München;Bavarian State Orchestra;Carlos Kleiber
15189,new-age,Hennie Bekker
15190,mpb,Priscila Tossan
15191,bluegrass,Psychograss
15192,brazil,Start Rap;Filipe Ret
15193,psych-rock,Selda Bağcan;Otnicka
15194,psych-rock,Mojo Nixon
15195,punk,The Run Around
15196,bluegrass,Bobby Osborne;Alison Brown;Stuart Duncan;Trey Hensley;Sierra Hull;Tim O'Brien;Todd Phillips
15197,mpb,As Baías
15198,psych-rock,Şençalar Kardeşler
15199,brazil,Thegust Mc's
15200,psych-rock,Selda Bağcan;Mabel Matiz
15201,psych-rock,Shocking Blue
15202,bluegrass,Bill Monroe & His Blue Grass Boys
15203,psych-rock,Vanilla Fudge
15204,bluegrass,Del McCoury
15205,mpb,Lorena Chaves
15206,mpb,Ana Carolina;John Legend
15207,psych-rock,The Avalanches;MGMT;Johnny Marr
15208,new-age,Clannad;Phil Mison
15209,brazil,Murica;BEATDOMK;Jean Tassy
15210,bluegrass,Laurie Lewis;The Right Hands;Linda Ronstadt
15211,bluegrass,Circus No. 9;Jeff Sipe
15212,mpb,Tuyo
15213,opera,Giuseppe Verdi;Luciano Pavarotti;London Symphony Orchestra;Richard Bonynge
15214,bluegrass,Watkins Family Hour;Jon Brion
15215,bluegrass,Nefesh Mountain
15216,punk-rock,Patti Smith
15217,punk-rock,Mayday Parade;Vic Fuentes
15218,bluegrass,Don Reno;Bill Harrell;The Tennessee Cut-Ups
15219,punk,The Black Ghosts
15220,brazil,Padre Marcelo Rossi;Padre Adriano Zandoná
15221,mpb,Max Viana
15222,progressive-house,Jay Hardway
15223,opera,Giacomo Puccini;Luciano Pavarotti;Nicolai Ghiaurov;Mirella Freni;Gianni Maffeo;Gernot Pietsch;Schöneberger Sängerknaben;Chor der Deutschen Oper Berlin;Berliner Philharmoniker;Herbert von Karajan
15224,punk,Good Morning Everyone
15225,progressive-house,Afrojack;Ally Brooke
